"k","accuracy","iris_setosa","iris_versicolor","iris_virginica","misclassified"
1,0.966666666666667,16,19,23,2
3,0.966666666666667,16,19,23,2
5,0.966666666666667,16,19,23,2
7,0.966666666666667,16,19,23,2
9,0.966666666666667,16,19,23,2
11,0.95,16,18,23,3
13,0.95,16,18,23,3
15,0.95,16,18,23,3
